START
S02034;read1.0;B;98483940;a
S02034;read2.0;B;98483950;a
S02034;read3.0;B;98483955;a
S02034;read4.0;B;98483960;a
S02034;read4.0;E;98483980;a
S02034;read3.0;E;98483995;a
S02034;read2.0;E;98484000;a
S02034;read1.0;E;98484005;a
STOP
START
S02034;read1.0;B;98484840;a
S02034;read2.0;B;98484855;a
S02034;read3.0;B;98484957;a
S02034;read4.0;B;98484963;a
S02034;read4.0;E;98484978;a
S02034;read3.0;E;98484996;a
S02034;read2.0;E;98485012;a
S02034;read1.0;E;98485015;a
STOP
START
S02034;read1.0;B;98485946;a
S02034;read2.0;B;98485955;a
S02034;read3.0;B;98485978;a
S02034;read4.0;B;98485980;a
S02034;read4.0;E;98485986;a
S02034;read3.0;E;98485998;a
S02034;read2.0;E;98486005;a
S02034;read1.0;E;98486100;a
STOP

