START
S02034;moneyTransfer();B;98483950;a
S02034;checkTransfer();B;98483955;a
S02034;checkTransfer();E;98483960;a
S02034;moneyTransfer();E;98483965;a
S02034;moneyTransfer();B;98483970;a
S02034;checkTransfer();B;98483975;a
S02034;checkTransfer();E;98483980;a
S02034;moneyTransfer();E;98483985;a
STOP
START
S02034;moneyTransfer();B;98483950;a
S02034;checkTransfer();B;98483957;a
S02034;checkTransfer();E;98483960;a
S02034;moneyTransfer();E;98483967;a
S02034;moneyTransfer();B;98483970;a
S02034;moneyTransfer();E;98483987;a
STOP


