START
S02034;A;B;98483940;a
S02034;C;B;98483941;a
S02034;C;B;98483941;a
S02034;C;B;98483941;a
S02034;C;E;98483951;a
S02034;C;E;98483961;a
S02034;C;E;98483971;a
S02034;A;E;98483985;a
STOP
START
S02034;A;B;98483940;a
S02034;C;B;98483945;a
S02034;C;B;98483946;a
S02034;C;B;98483947;a
S02034;C;B;98483948;a
S02034;C;E;98483958;a
S02034;C;E;98483968;a
S02034;C;E;98483978;a
S02034;C;E;98483988;a
S02034;A;E;98483995;a
STOP
START
S02034;A;B;98483940;a
S02034;C;B;98483945;a
S02034;C;B;98483946;a
S02034;C;B;98483947;a
S02034;C;B;98483948;a
S02034;C;B;98483949;a
S02034;C;E;98483953;a
S02034;C;E;98483958;a
S02034;C;E;98483968;a
S02034;C;E;98483978;a
S02034;C;E;98483988;a
S02034;A;E;98483996;a
STOP
