START
S02034;read1.0;B;98483940;a
S02034;read1.0;E;98483945;a
S02034;read2.0;B;98483950;a
S02034;read3.0;B;98483955;a
S02034;read3.0;E;98483995;a
S02034;read2.0;E;98484000;a
STOP
START
S02034;read1.0;B;98483940;a
S02034;read1.0;E;98483945;a
S02034;read12.0;B;98483950;a
S02034;read13.0;B;98483955;a
S02034;read13.0;E;98483995;a
S02034;read12.0;E;98484000;a
STOP
START
S02034;read1.0;B;98483940;a
S02034;read1.0;E;98483945;a
S02034;read22.0;B;98483950;a
S02034;read23.0;B;98483955;a
S02034;read23.0;E;98483995;a
S02034;read22.0;E;98484000;a
STOP


